,PropertyStreetNbrNameText,PropertyCityName,State,PropertyZipCode,TotalAssessedAmt,Lat,Lng
105,2608 N POCOMOKE ST,ARLINGTON,VA,22207,986400,38.8951475,-77.1536617
106,816 S ORME ST,ARLINGTON,VA,22204,446200,38.8676987,-77.0727144
107,4639 17th ST N,ARLINGTON,VA,22207,858900,38.8914883,-77.1200009
108,6141 11th RD N,ARLINGTON,VA,22205,774500,38.8803267,-77.1479434
109,3026 N NOTTINGHAM ST,ARLINGTON,VA,22207,864900,38.9022787,-77.15136989999999
110,906 N MONTANA ST,ARLINGTON,VA,22205,746200,38.8759816,-77.1448987
111,2310 14th ST N 407,ARLINGTON,VA,22201,732300,38.8889925,-77.0866795
112,5013 12th ST S,ARLINGTON,VA,22204,532800,38.8527939,-77.1098852
113,2502 S WALTER REED DR 00002,ARLINGTON,VA,22206,473700,38.849524,-77.107075
114,3019 S BUCHANAN ST A1,ARLINGTON,VA,22206,370100,38.8379611,-77.0986935
115,5817 23rd ST N,ARLINGTON,VA,22205,659600,38.8930504,-77.14376399999999
116,1115 S EDISON ST,ARLINGTON,VA,22204,485600,38.8513392,-77.1125936
117,3165 MILITARY RD,ARLINGTON,VA,22207,1424400,38.914641,-77.1179316
118,3639 36th RD N,ARLINGTON,VA,22207,1000800,38.9222152,-77.11748209999999
119,1019 N GEORGE MASON DR,ARLINGTON,VA,22205,713600,38.883058,-77.122137
120,2805 F S WOODROW ST 00001,ARLINGTON,VA,22206,309500,38.840456,-77.09729709999999
121,900 N TAYLOR ST 1624,ARLINGTON,VA,22203,118700,38.8812752,-77.11300949999999
122,2424 N ROOSEVELT ST,ARLINGTON,VA,22207,896500,38.8931196,-77.15563890000001
123,4909 13th ST N,ARLINGTON,VA,22205,902000,38.8860316,-77.1230558
124,605 N BUCHANAN ST,ARLINGTON,VA,22203,717500,38.8757773,-77.11752709999999
125,500 N FILLMORE ST,ARLINGTON,VA,22201,886200,38.8799829,-77.0926669
126,5075 9th ST S,ARLINGTON,VA,22204,404900,38.85634599999999,-77.11406699999999
127,5901 2nd ST N,ARLINGTON,VA,22203,710300,38.8679212,-77.1334834
128,1045 N UTAH ST 2-702,ARLINGTON,VA,22201,459500,38.8832871,-77.11356549999999
129,6100 35th ST N,ARLINGTON,VA,22213,1230100,38.904184,-77.153588
130,2620 N POWHATAN ST,ARLINGTON,VA,22207,765300,38.8961014,-77.1517744
131,5404 WILSON BLVD,ARLINGTON,VA,22205,559400,38.876641,-77.12633699999999
132,760 N VERMONT ST,ARLINGTON,VA,22203,529000,38.878902,-77.114992
133,2114 N POWHATAN ST,ARLINGTON,VA,22205,883300,38.8888953,-77.1494376
134,4600 S FOUR MILE RUN DR 1230,ARLINGTON,VA,22204,199300,38.8548913,-77.1074126
135,3000 SPOUT RUN PKWY B608,ARLINGTON,VA,22201,240200,38.8961088,-77.09453119999999
136,2609 S WALTER REED DR D,ARLINGTON,VA,22206,292400,38.8427325,-77.103129
137,4763 WILLIAMSBURG BLVD,ARLINGTON,VA,22207,806000,38.9144921,-77.13779799999999
138,2300 N VERNON ST,ARLINGTON,VA,22207,1667800,38.9006941,-77.1199094
139,901 N MONROE ST 604,ARLINGTON,VA,22201,755600,38.8831351,-77.10271500000002
140,707 N NELSON ST,ARLINGTON,VA,22203,653800,38.880332,-77.10256
141,4429 38th ST N,ARLINGTON,VA,22207,931100,38.9196373,-77.1282585
142,3701 N OAKLAND ST,ARLINGTON,VA,22207,925000,38.9219948,-77.1187407
143,912 N GARFIELD ST,ARLINGTON,VA,22201,808100,38.8833558,-77.0937459
144,2245 N BUCHANAN ST,ARLINGTON,VA,22207,695800,38.8985492,-77.1253713
145,3514 15th ST N,ARLINGTON,VA,22201,823300,38.8890776,-77.1043074
146,2039 N VERMONT ST,ARLINGTON,VA,22207,716200,38.8969907,-77.1165831
147,1004 S DINWIDDIE ST,ARLINGTON,VA,22204,478700,38.85358730000001,-77.1119531
148,5611 15th ST N,ARLINGTON,VA,22205,778700,38.8846576,-77.1349328
149,4301 8th ST S,ARLINGTON,VA,22204,682500,38.8615996,-77.1056596
150,2428 N POTOMAC ST,ARLINGTON,VA,22207,1634200,38.89387809999999,-77.152718
151,3569 S STAFFORD ST B,ARLINGTON,VA,22206,442800,38.8293792,-77.08650659999999
152,955 N ROCHESTER ST,ARLINGTON,VA,22205,740300,38.8766529,-77.1509205
153,1012 N GEORGE MASON DR,ARLINGTON,VA,22205,668900,38.8825924,-77.1234491
154,1414 N LANCASTER ST,ARLINGTON,VA,22205,663700,38.8830494,-77.1427416
155,1347 S COLUMBUS ST,ARLINGTON,VA,22204,478700,38.8502128,-77.1079972
156,628 N TAZEWELL ST,ARLINGTON,VA,22203,530400,38.878176,-77.1131218
157,900 N TAYLOR ST 2123,ARLINGTON,VA,22203,229000,38.881212,-77.113281
158,2109 N KENTUCKY ST,ARLINGTON,VA,22205,889400,38.8914419,-77.1405797
159,3827 6th ST S,ARLINGTON,VA,22204,713600,38.8651421,-77.0992741
160,1600 N OAK ST 833,ARLINGTON,VA,22209,498400,38.892896,-77.07321089999999
161,5114 COLUMBIA PIKE 6,ARLINGTON,VA,22204,137400,38.8550891,-77.113361
162,1600 N OAK ST 818,ARLINGTON,VA,22209,617400,38.8927061,-77.0735475
163,3012 19th ST S,ARLINGTON,VA,22204,520600,38.8535315,-77.0859677
164,3911 9th ST S,ARLINGTON,VA,22204,754300,38.8612566,-77.0985516
165,6238 21st ST N,ARLINGTON,VA,22205,1601700,38.8881446,-77.1511677
166,3044 S BUCHANAN ST A1,ARLINGTON,VA,22206,393500,38.8372603,-77.09825560000002
167,5323 LITTLE FALLS RD,ARLINGTON,VA,22207,811900,38.903242,-77.1435393
168,2891 S ABINGDON ST B2,ARLINGTON,VA,22206,380300,38.8414895,-77.0969229
169,878 PATRICK HENRY DR,ARLINGTON,VA,22205,679400,38.8749328,-77.14305619999999
170,1904 N VEITCH ST,ARLINGTON,VA,22201,790600,38.8961828,-77.0868825
171,1029 N STUART ST 716,ARLINGTON,VA,22201,479700,38.8832022,-77.111571
172,4819 WASHINGTON BLVD,ARLINGTON,VA,22205,829500,38.8854243,-77.12229169999999
173,26 S OLD GLEBE RD 101-B,ARLINGTON,VA,22204,191900,38.8698308,-77.0984666
174,4807 11th ST N,ARLINGTON,VA,22205,1322700,38.8841444,-77.1212579
175,1906 N MADISON ST,ARLINGTON,VA,22205,673400,38.888094,-77.143439
176,1819 N LEXINGTON ST,ARLINGTON,VA,22205,768100,38.88766220000001,-77.1394608
177,3701 N WAKEFIELD ST,ARLINGTON,VA,22207,1940300,38.91673919999999,-77.1291686
178,937 N LONGFELLOW ST,ARLINGTON,VA,22205,703100,38.8768253,-77.1427416
179,1900 N STAFFORD ST,ARLINGTON,VA,22207,837600,38.8942101,-77.1121778
180,2137 N PIERCE CT,ARLINGTON,VA,22209,899500,38.8993909,-77.0764466
181,1807 KEY BLVD 10520,ARLINGTON,VA,22201,351900,38.895264,-77.082763
182,1519 KIRKWOOD RD,ARLINGTON,VA,22201,773200,38.8895293,-77.10074809999999
183,371 N EDISON ST,ARLINGTON,VA,22203,661100,38.8719687,-77.1178529
184,128 S FENWICK ST,ARLINGTON,VA,22204,599900,38.8711042,-77.0893061
185,4645 36th ST S,ARLINGTON,VA,22206,553800,38.8333609,-77.09371399999999
186,2406 N MONROE ST,ARLINGTON,VA,22207,959400,38.902065,-77.1020182
187,2122 S POLLARD ST,ARLINGTON,VA,22204,342600,38.8487715,-77.0928623
188,900 N STAFFORD ST 1807,ARLINGTON,VA,22203,489100,38.881358,-77.11084579999999
189,2030 6th ST S,ARLINGTON,VA,22204,483400,38.8689963,-77.0806171
190,3612 N ALBEMARLE ST,ARLINGTON,VA,22207,1192900,38.9160823,-77.1351463
191,324 N MADISON ST,ARLINGTON,VA,22203,690100,38.8680057,-77.13964059999999
192,1533 22nd ST N,ARLINGTON,VA,22209,1256300,38.9002476,-77.0764803
193,900 N TAYLOR ST 729,ARLINGTON,VA,22203,113700,38.8812752,-77.11300949999999
194,5300 COLUMBIA PIKE T-10,ARLINGTON,VA,22204,291300,38.8538412,-77.1165606
195,1045 N UTAH ST 2-111,ARLINGTON,VA,22201,299100,38.8832871,-77.11356549999999
196,301 N GALVESTON ST,ARLINGTON,VA,22203,669600,38.8714306,-77.12319070000001
197,2124 S RANDOLPH ST,ARLINGTON,VA,22204,487700,38.848197,-77.0953644
198,1920 N KENILWORTH ST,ARLINGTON,VA,22205,810300,38.8906635,-77.1386519
199,965 PATRICK HENRY DR,ARLINGTON,VA,22205,676200,38.8776538,-77.1411686
200,1811 N CALVERT ST,ARLINGTON,VA,22201,959200,38.8940185,-77.09181269999999
201,4501 ARLINGTON BLVD 0624,ARLINGTON,VA,22203,227000,38.8692834,-77.10882880000001
202,1210 N TAFT ST 609,ARLINGTON,VA,22201,164700,38.8878898,-77.0821795
203,1538 N DANVILLE ST,ARLINGTON,VA,22201,936400,38.8905308,-77.0911383
204,3529 S UTAH ST B1,ARLINGTON,VA,22206,251000,38.8312386,-77.0891025
205,961 S ROLFE ST 00001,ARLINGTON,VA,22204,468600,38.8657666,-77.0757478
206,3321 6th ST S,ARLINGTON,VA,22204,636200,38.8667626,-77.09437539999999
207,5661 8th RD N,ARLINGTON,VA,22205,644900,38.8754964,-77.13047209999999
208,4426 26th RD N,ARLINGTON,VA,22207,1733900,38.905809,-77.1180889
209,308 N KENMORE ST,ARLINGTON,VA,22201,807300,38.8764011,-77.0983317
210,4629 34th ST S,ARLINGTON,VA,22206,529400,38.8347098,-77.0921697
211,2030 N ADAMS ST 1201,ARLINGTON,VA,22201,232800,38.8977682,-77.0896321
212,2923 S BUCHANAN ST,ARLINGTON,VA,22206,415700,38.8386526,-77.0994844
213,3800 FAIRFAX DR 1204,ARLINGTON,VA,22203,682400,38.8821571,-77.1050976
214,3620 N PIEDMONT ST,ARLINGTON,VA,22207,945600,38.9187644,-77.1182013
215,2428 13th CT N,ARLINGTON,VA,22201,917700,38.8882738,-77.08809029999999
216,2915 H S WOODLEY ST 00008,ARLINGTON,VA,22206,231400,38.8415776,-77.0962029
217,4515 37th ST N,ARLINGTON,VA,22207,943600,38.9165839,-77.13101139999999
218,1276 N WAYNE ST 322,ARLINGTON,VA,22201,784000,38.8880275,-77.0867979
219,3431 N RANDOLPH ST,ARLINGTON,VA,22207,864000,38.9172701,-77.12134780000001
220,4608 D 28th RD S D,ARLINGTON,VA,22206,292400,38.84315369999999,-77.0983088
221,2628 N SYCAMORE ST,ARLINGTON,VA,22213,674100,38.89595449999999,-77.157661
222,3825 37th ST N,ARLINGTON,VA,22207,1024100,38.9212427,-77.120269
223,3047 S COLUMBUS ST A1,ARLINGTON,VA,22206,393500,38.8368794,-77.0986018
224,4141 HENDERSON RD 325,ARLINGTON,VA,22203,284000,38.8758591,-77.10945819999999
225,1600 N OAK ST 1223,ARLINGTON,VA,22209,378100,38.892896,-77.07321089999999
226,406 S VEITCH ST,ARLINGTON,VA,22204,398700,38.869917,-77.082924
227,2411 S WALTER REED DR 2-5,ARLINGTON,VA,22206,366500,38.8448415,-77.0975889
228,3521 N DICKERSON ST,ARLINGTON,VA,22207,836300,38.9142712,-77.1412136
229,873 N FREDERICK ST,ARLINGTON,VA,22205,724800,38.8788344,-77.12440430000001
230,2505 KEY BLVD,ARLINGTON,VA,22201,940400,38.8928721,-77.0891937
231,3504 15th ST S,ARLINGTON,VA,22204,604900,38.8564602,-77.09095839999999
232,1519 S GEORGE MASON DR 11,ARLINGTON,VA,22204,184400,38.8688785,-77.1064505
233,5222 10th PL S,ARLINGTON,VA,22204,287300,38.8519156,-77.1160437
234,3548 N DICKERSON ST,ARLINGTON,VA,22207,1026600,38.9151315,-77.1419102
235,3348 S WAKEFIELD ST B,ARLINGTON,VA,22206,442800,38.83526639999999,-77.0912676
236,868 S IRVING ST,ARLINGTON,VA,22204,404000,38.862844,-77.0904259
237,4401 LEE HWY 32,ARLINGTON,VA,22207,280000,38.898624,-77.1170101
238,1513 N HERNDON ST,ARLINGTON,VA,22201,1160300,38.8901974,-77.0989161
239,1601 N TAYLOR ST,ARLINGTON,VA,22207,1348300,38.8906624,-77.11276219999999
240,1530 KEY BLVD 711,ARLINGTON,VA,22209,431000,38.8958698,-77.07591819999999
241,4375 LEE HWY,ARLINGTON,VA,22207,587700,38.89853720000001,-77.11609969999999
242,4322 18th ST N,ARLINGTON,VA,22207,1095800,38.892424,-77.1141557
243,5509 4th ST S,ARLINGTON,VA,22204,575100,38.863308,-77.1227412
244,2400 CLARENDON BLVD 310,ARLINGTON,VA,22201,386600,38.889413,-77.08778869999999
245,5565 COLUMBIA PIKE 804,ARLINGTON,VA,22204,128100,38.854945,-77.122467
246,6530 35th RD N,ARLINGTON,VA,22213,1578800,38.9015216,-77.1595258
247,3203 19th ST N,ARLINGTON,VA,22201,978000,38.8937852,-77.099051
248,5422 36th RD N,ARLINGTON,VA,22207,911800,38.907537,-77.15208890000001
249,1823 N KENMORE ST,ARLINGTON,VA,22207,1175300,38.893633,-77.10181589999999
250,3722 14th ST S,ARLINGTON,VA,22204,645700,38.8563307,-77.09446530000001
251,3800 FAIRFAX DR 1209,ARLINGTON,VA,22203,494200,38.8821571,-77.1050976
252,5353 COLUMBIA PIKE 106,ARLINGTON,VA,22204,176500,38.8549861,-77.1167404
253,6712 LEE HWY,ARLINGTON,VA,22205,581700,38.888226,-77.16039099999999
254,535 S LANCASTER ST,ARLINGTON,VA,22204,655300,38.8608377,-77.1293934
255,6138 LEE HWY,ARLINGTON,VA,22205,956800,38.892604,-77.1495724
256,729 N BARTON ST,ARLINGTON,VA,22201,772300,38.8817486,-77.0871929
257,1709 S MONROE ST,ARLINGTON,VA,22204,545000,38.8543703,-77.0908572
258,4600 S FOUR MILE RUN DR 1139,ARLINGTON,VA,22204,113100,38.8548913,-77.1074126
259,509 N OXFORD ST,ARLINGTON,VA,22203,827500,38.8773141,-77.10438239999999
260,4525 20th PL N,ARLINGTON,VA,22207,692800,38.8961932,-77.11878569999999
261,4212 36th ST S B2,ARLINGTON,VA,22206,251000,38.8286091,-77.0887924
262,4734 33rd ST N,ARLINGTON,VA,22207,952900,38.9097863,-77.1319553
263,2 S EDISON ST,ARLINGTON,VA,22204,546000,38.8661796,-77.121123
264,6066 25th RD N,ARLINGTON,VA,22207,738000,38.8946866,-77.14988699999999
265,3518 JOHN MARSHALL DR,ARLINGTON,VA,22207,748000,38.9062173,-77.1528529
266,1218 N DINWIDDIE ST,ARLINGTON,VA,22205,753200,38.88430510000001,-77.1230558
267,2813 D S WOODROW ST 00004,ARLINGTON,VA,22206,244900,38.840456,-77.09729709999999
268,801 N ILLINOIS ST,ARLINGTON,VA,22205,677800,38.8756873,-77.1264269
269,4611 36th ST S,ARLINGTON,VA,22206,384700,38.8325562,-77.092748
270,1853 WILSON BLVD 5-365,ARLINGTON,VA,22201,348800,38.8770461,-77.1264617
271,4600 S FOUR MILE RUN DR 1022,ARLINGTON,VA,22204,162300,38.8548913,-77.1074126
272,664 S ILLINOIS ST,ARLINGTON,VA,22204,622700,38.8591133,-77.1220445
273,1276 N WAYNE ST 909,ARLINGTON,VA,22201,600700,38.8880275,-77.0867979
274,525 N IVY ST,ARLINGTON,VA,22201,885600,38.8797114,-77.0970562
275,2406 N UPTON ST,ARLINGTON,VA,22207,1118900,38.90231199999999,-77.11740499999999
276,4324 17th ST N,ARLINGTON,VA,22207,845800,38.8913702,-77.11406579999999
277,2907 D S WOODLEY ST 00004,ARLINGTON,VA,22206,231400,38.8418873,-77.09660509999999
278,407 S WAKEFIELD ST,ARLINGTON,VA,22204,467000,38.8635631,-77.1092109
279,2020 N TROY ST,ARLINGTON,VA,22201,548000,38.8976789,-77.083992
280,3515 WASHINGTON BLVD 512,ARLINGTON,VA,22201,368700,38.88645959999999,-77.1048634
281,1600 N OAK ST 1404,ARLINGTON,VA,22209,360100,38.892896,-77.07321089999999
282,2301 N MONROE ST,ARLINGTON,VA,22207,1018300,38.8993008,-77.1031421
283,3613 21st AVE N,ARLINGTON,VA,22207,902800,38.8982626,-77.10462559999999
284,1014 N EDISON ST,ARLINGTON,VA,22205,1092600,38.8822173,-77.1244942
285,3000 SPOUT RUN PKWY C410,ARLINGTON,VA,22201,239900,38.8961088,-77.09453119999999
286,5000 7th RD S 302,ARLINGTON,VA,22204,257800,38.85956669999999,-77.1167807
287,2100 LEE HWY 408,ARLINGTON,VA,22201,339400,38.8958433,-77.0836796
288,5701 25th ST N,ARLINGTON,VA,22207,825300,38.8961781,-77.1431011
289,243 N GRANADA ST,ARLINGTON,VA,22203,649000,38.8707918,-77.1224153
290,2137 N SCOTT ST,ARLINGTON,VA,22209,956400,38.8996935,-77.0815613
291,4511 6th ST S,ARLINGTON,VA,22204,601300,38.8628953,-77.1086265
292,1501 F N COLONIAL TER,ARLINGTON,VA,22209,895100,38.89789469999999,-77.0759405
293,5565 COLUMBIA PIKE 414,ARLINGTON,VA,22204,188700,38.854945,-77.122467
294,3203 9th ST S,ARLINGTON,VA,22204,407900,38.8626473,-77.09045499999999
295,3707 3rd ST S,ARLINGTON,VA,22204,473700,38.8678116,-77.0980957
296,1149 N INGLEWOOD ST,ARLINGTON,VA,22205,759900,38.8832813,-77.1311463
297,616 N LINCOLN ST,ARLINGTON,VA,22201,874000,38.8795387,-77.1008942
298,5714 25th RD N,ARLINGTON,VA,22207,1084700,38.8963788,-77.1438202
299,2401 N KENMORE ST,ARLINGTON,VA,22207,924500,38.9009452,-77.0991859
300,816 S ARLINGTON MILL DR 5-303,ARLINGTON,VA,22204,172600,38.8589824,-77.11296449999999
301,2408 S WALTER REED DR 00003,ARLINGTON,VA,22206,573100,38.850384,-77.10743599999999
302,1519 S GEORGE MASON DR 10,ARLINGTON,VA,22204,139800,38.8687984,-77.106901
303,6940 FAIRFAX DR 406,ARLINGTON,VA,22213,387000,38.8883169,-77.1647175
304,5161 11th ST S,ARLINGTON,VA,22204,547900,38.851795,-77.1135264
305,1301 N COURTHOUSE RD 1610,ARLINGTON,VA,22201,573000,38.8886793,-77.0830818
306,2862 S BUCHANAN ST A2,ARLINGTON,VA,22206,409700,38.8399152,-77.1009299
307,2734 N YUCATAN ST,ARLINGTON,VA,22213,765400,38.8915691,-77.16983789999999
